date correction
10/28 0.997650244091
10/29 1.0001343951
10/30 1.0001343951
10/31 0.995687836393
11/1 0.997171934201
11/2 0.99895965203
11/3 0.994980430575
11/4 0.999049918896
11/5 0.996845431643
11/6 0.997474968407
11/7 1.00112579753
11/8 1.00891024262
11/9 1.00849369582
11/10 1.00766646686
11/11 1.00453917792
11/12 1.00068228342
11/13 1.00293730979
11/14 1.00178941761
11/15 1.00196621297
11/16 0.998603494673
11/17 1.00123554445
11/18 1.00114965351
11/19 0.997247675489
11/20 0.993780144791
11/21 0.995466074382
11/22 0.997233473121
11/23 0.993803651972
11/24 1.00047735058
11/25 0.996145827962
11/26 0.997996238997
11/27 0.99495215525
11/28 0.996897468449
11/29 0.996656252682
11/30 0.999734577423
12/1 0.999496742444
12/2 1.00264051904
12/3 1.00726060563
12/4 1.00509671319
12/5 1.0030522437
12/6 1.00286070181
12/7 1.00403984431
12/8 0.999948725701
12/9 1.00081100509
12/10 1.00228173265
12/11 0.999087930878
12/12 0.997418135465
12/13 1.02084385844
12/14 1.01094462952
12/15 0.997115135784
12/16 1.0001343951
12/17 1.00110194268
12/18 1.00015820385
12/19 1.00028679072
12/20 1.000963607
12/21 0.995334007792
12/22 0.996051362234
12/23 0.999192478745
12/24 0.996396248821
12/25 0.996287560156
12/26 0.996486052998
12/27 0.999710788832
12/28 1.00310493055
12/29 1.00008678099
12/30 1.00188497492
12/31 0.999905888706
1/1 1.0021574133
1/2 1.00012963348
1/3 
1/4 0.999282787695
1/5 0.999197231441
1/6 1.00145988476
1/7 1.00034395106
1/8 0.996935316811
1/9 0.995706714318
1/10 0.997612341426
1/11 0.997896681629
1/12 0.999596619351
1/13 0.99736604429
1/14 1.0044287056
1/15 0.99793934664
1/16 1.08370852729
1/17 
1/18 1.17155620442
1/19 1.12667929754
1/20 1.07578341961
1/21 1.05329035473
1/22 1.03484944553
1/23 1.0214196445
1/24 1.01392109597
1/25 1.01311914437
1/26 1.00969098277
1/27 1.00310972054
1/28 1.00281761496
1/29 1.00213828998
1/30 1.00121168438
1/31 1.00189931009
2/1 1.00131190434
2/2 0.99982974311
2/3 0.998024687608
2/4 0.999282787695
2/5 1.00159835766
2/6 1.00133576919
2/7 0.999087930878
2/8 1.00083007778
2/9 0.996835970989
2/10 1.00173686886
2/11 1.00144078805
2/12 0.998091074008
2/13 1.0012164563
2/14 0.997906162428
2/15 0.995574583873
2/16 0.99700155836
2/17 1.0041598311
2/18 1.00112579753
2/19 1.00429905171
2/20 1.00239173318
2/21 0.99820964312
2/22 1.00173209197
2/23 1.00012963348
2/24 1.0026979487
2/25 1.00062031812
2/26 1.00005345381
2/27 0.998783915989
2/28 1.0021191674
3/1 0.997854020266
3/2 0.999078427612
3/3 0.999482475944
3/4 1.00314325174
3/5 1.00274581178
3/6 0.999425414015
3/7 0.999401640135
3/8 0.996930585608
3/9 1.00224347726
3/10 0.997683411285
3/11 1.00430865455
3/12 0.999125945753
3/13 0.997925124565
3/14 1.00043446828
3/15 1.00147898219
3/16 0.995768072518
